Age,Tenure_Months,Monthly_Spend_USD,Support_Calls,Satisfaction_Score,Churn
39,45,140.9,1,2,0
33,47,46.61,1,3,0
41,20,57.76,2,5,0
50,19,194.51,3,5,0
32,35,91.0,1,5,0
32,4,128.0,3,2,1
50,5,60.43,0,2,0
42,1,123.76,0,3,1
30,4,91.24,3,4,1
40,12,57.48,0,3,0
30,27,173.48,1,5,0
30,56,167.3,1,5,0
37,42,115.71,1,1,0
18,23,159.98,3,3,0
18,25,196.13,1,5,0
29,21,150.16,2,5,0
24,58,139.19,0,4,0
38,52,127.96,2,1,0
25,24,145.98,1,3,0
20,25,105.44,0,2,0
49,45,108.93,1,3,0
32,55,138.04,2,3,0
35,46,101.05,1,4,0
20,32,105.37,1,3,0
29,55,120.01,1,4,0
36,32,166.02,2,4,0
23,5,74.69,2,5,0
38,36,150.37,0,2,0
28,46,151.67,1,4,0
32,42,151.43,1,1,1
28,49,87.73,1,1,1
53,42,52.29,2,2,0
34,58,142.39,1,4,0
24,39,127.5,2,2,0
43,16,160.18,1,5,0
22,33,91.98,1,1,1
37,49,150.4,3,3,0
18,21,162.18,1,1,0
21,9,116.19,0,4,0
36,6,136.68,3,2,1
42,51,135.28,1,1,0
36,45,87.14,1,3,1
33,35,141.24,2,3,0
31,39,184.9,1,2,0
20,22,120.89,2,2,1
27,41,61.56,2,1,1
30,54,92.51,0,4,0
45,5,48.82,1,5,0
38,42,171.61,1,3,0
18,23,150.56,0,2,1
38,17,99.95,0,5,0
31,12,63.28,2,5,1
28,23,86.67,0,5,0
41,16,94.47,2,4,0
45,3,124.38,0,2,1
44,30,123.03,0,3,0
26,57,173.66,0,2,0
31,22,92.29,0,1,1
38,9,59.67,1,3,1
44,29,73.72,1,2,0
30,47,119.08,3,3,0
33,37,90.85,1,1,0
23,23,108.32,4,3,1
23,13,101.84,1,5,0
43,32,159.61,0,4,0
48,46,96.52,1,1,1
34,52,104.91,1,3,0
45,47,148.69,2,1,1
38,48,97.4,2,5,0
28,23,136.93,1,4,1
38,45,133.26,3,1,0
50,17,125.67,1,5,0
34,55,74.62,0,5,0
50,40,169.19,1,5,0
18,21,208.83,2,3,1
43,2,120.35,1,2,1
35,37,78.15,1,1,1
32,6,121.16,0,2,1
35,44,159.59,0,5,0
18,18,95.39,0,2,0
32,30,114.84,0,5,0
38,22,133.63,1,5,0
49,54,168.12,1,4,0
29,33,151.02,1,4,0
26,30,152.67,0,2,0
29,17,102.95,1,1,1
44,43,136.08,4,2,1
38,32,91.12,2,1,0
29,42,153.82,0,2,1
40,51,166.05,2,3,0
35,14,142.13,0,3,0
44,58,105.3,1,1,0
27,10,111.85,1,4,0
31,47,192.26,1,1,1
31,51,105.97,2,2,1
20,36,162.0,3,5,0
37,34,133.56,2,3,1
37,9,106.63,0,5,0
35,42,66.21,1,3,0
32,28,128.46,0,2,0
20,11,123.64,1,3,0
30,14,192.26,2,1,1
31,39,85.59,2,5,0
26,55,211.79,0,5,0
33,47,135.15,0,2,0
39,54,135.11,1,5,0
53,19,96.28,0,2,0
36,54,132.59,0,4,0
37,15,138.92,2,1,1
34,28,157.49,0,3,0
18,24,80.87,0,3,1
34,8,176.27,2,3,1
35,43,134.46,2,4,0
59,9,144.33,3,1,1
33,47,111.16,1,5,0
38,33,82.87,2,5,0
34,33,122.91,1,1,1
23,19,127.49,2,1,1
46,3,64.58,1,3,0
42,10,151.73,3,5,0
42,40,159.86,1,1,0
25,47,90.81,1,5,0
49,42,79.1,4,1,1
20,1,107.88,0,2,0
40,29,120.96,2,3,0
56,50,109.43,2,1,1
25,34,117.56,1,4,0
29,51,128.86,4,1,1
35,13,65.27,2,2,1
29,54,69.87,4,4,0
19,1,20.0,0,4,0
35,34,157.7,1,1,1
24,29,120.61,3,2,0
39,48,161.91,3,4,0
25,47,74.49,1,3,0
50,13,120.98,0,3,0
27,48,128.59,1,5,0
31,49,97.53,2,5,0
43,53,57.86,2,2,1
22,29,189.83,2,4,0
37,39,175.97,1,3,0
48,24,104.72,1,3,0
18,26,140.41,3,2,1
36,17,100.61,3,4,1
37,7,80.18,2,2,0
42,13,193.09,3,1,1
22,5,53.79,2,3,1
21,26,108.58,2,2,1
40,49,123.37,1,2,0
37,3,186.05,0,1,1
37,7,155.86,1,5,0
38,58,53.11,2,3,0
28,49,119.89,3,2,0
37,39,120.84,2,3,1
37,53,110.87,1,5,0
27,1,144.79,1,2,1
53,49,63.64,0,1,0
39,17,103.65,0,3,0
23,43,139.15,3,1,1
41,25,147.18,1,5,0
25,59,125.98,2,5,0
42,3,108.46,2,3,0
46,15,115.2,1,5,0
26,29,149.62,1,4,0
44,53,121.36,2,3,0
39,43,78.33,2,4,0
43,32,70.66,1,5,1
53,26,60.41,2,3,1
32,16,178.22,1,4,0
27,25,152.3,0,5,0
26,54,115.74,0,2,0
26,28,101.85,0,2,1
34,9,97.04,4,1,1
38,56,163.73,3,2,1
37,56,196.18,3,4,0
43,1,95.78,0,2,0
35,29,165.54,2,3,1
49,57,121.12,2,3,0
32,22,111.5,2,3,0
62,16,180.17,3,2,1
41,41,119.59,2,2,0
26,51,131.85,1,1,0
24,44,129.93,1,5,0
39,51,54.98,0,1,1
32,54,131.54,1,4,0
42,41,97.49,1,3,0
39,7,63.15,1,2,1
34,14,99.31,0,5,0
26,29,98.98,0,5,0
19,19,161.2,2,2,1
30,19,77.45,3,1,1
43,2,88.41,1,5,1
37,41,129.42,2,1,1
22,45,66.97,1,2,0
36,15,93.64,2,1,1
38,3,53.42,1,3,0
26,11,156.8,2,2,1
36,53,107.95,1,2,1
35,46,119.36,1,5,0
23,30,156.64,2,5,0
38,57,91.11,2,5,0
40,40,107.52,2,3,0
45,18,77.75,1,3,0
45,51,77.66,1,4,0
21,48,83.18,0,2,1
25,2,100.3,2,5,0
40,32,104.61,3,2,1
40,8,131.55,1,1,1
40,22,84.35,1,3,0
70,6,132.79,0,4,1
40,12,139.4,0,1,0
46,47,101.29,0,2,0
44,57,87.81,0,3,0
41,40,123.4,0,5,0
31,36,111.88,2,1,1
42,15,128.81,2,3,0
27,28,182.79,2,2,1
32,52,122.75,1,2,0
30,57,94.43,1,1,1
35,49,84.36,1,1,1
58,45,85.91,1,1,0
18,18,61.49,0,4,0
41,2,157.31,2,5,0
18,13,30.67,1,3,1
30,45,139.52,0,2,0
45,54,85.28,0,2,0
35,15,99.5,1,5,0
24,20,84.08,0,1,1
27,29,177.83,1,1,1
41,59,120.65,1,2,0
27,42,151.62,2,5,0
37,29,172.02,1,2,1
35,3,126.54,1,1,1
28,19,72.18,0,3,0
56,3,111.17,2,1,1
41,54,90.31,1,3,0
18,14,99.86,2,4,0
36,40,116.22,2,5,0
28,59,114.63,0,4,0
43,55,136.48,3,1,0
27,4,142.29,0,5,0
33,59,114.63,2,1,0
40,52,136.14,1,5,0
43,11,98.03,1,5,0
22,58,172.59,5,1,1
31,31,97.38,2,1,0
30,43,167.89,2,5,0
28,32,60.96,1,5,0
52,27,104.78,0,1,1
39,30,106.76,1,1,1
22,43,131.16,1,2,1
44,2,154.47,2,2,1
56,49,70.02,2,2,1
45,9,75.68,0,4,0
19,28,63.92,3,5,0
30,31,172.81,1,3,0
47,34,131.9,0,4,0
27,56,76.63,3,5,0
39,15,102.28,2,3,1
42,48,167.27,0,2,0
25,25,108.88,0,3,0
34,36,106.51,3,1,1
18,8,88.75,0,1,0
24,9,79.0,4,5,0
32,58,167.33,2,4,0
22,58,186.96,1,2,0
51,37,80.59,0,5,0
20,48,176.2,0,2,0
30,45,100.5,0,1,1
36,39,141.35,1,4,0
49,32,176.41,2,4,0
20,58,114.2,0,1,0
46,52,106.88,2,3,0
35,17,152.04,4,4,0
25,35,75.6,1,3,0
39,37,165.88,1,2,1
36,19,125.71,1,4,0
28,44,96.89,4,1,1
35,29,95.83,3,3,1
