Melanin_Level,Stroma_Density,Eye_Color
17.5,28.9,Blue
18.2,42.2,Blue
13.8,28.1,Blue
22.9,36.1,Blue
12.7,34.3,Blue
12.7,26.3,Blue
16.2,14.7,Blue
6.4,25.5,Blue
9.9,32.5,Blue
10.5,18.7,Blue
22.3,28.2,Blue
15.3,18.6,Blue
12.3,30.9,Blue
9.2,33.0,Blue
12.0,27.7,Blue
12.0,44.8,Blue
14.9,21.5,Blue
19.1,20.2,Blue
16.0,14.3,Blue
8.4,31.6,Blue
18.7,31.4,Blue
14.4,27.6,Blue
7.6,24.2,Blue
12.7,38.5,Blue
16.7,15.9,Blue
16.6,26.9,Blue
11.6,34.9,Blue
20.2,37.5,Blue
10.8,27.5,Blue
16.7,37.8,Blue
12.6,28.5,Blue
9.5,20.4,Blue
19.1,40.8,Blue
14.6,38.0,Blue
16.8,24.8,Blue
16.8,42.3,Blue
14.8,42.5,Blue
1.9,36.6,Blue
15.4,27.6,Blue
15.5,14.1,Blue
13.9,32.9,Blue
22.4,25.9,Blue
11.0,26.0,Blue
19.6,32.6,Blue
12.4,34.1,Blue
15.5,37.7,Blue
11.5,27.4,Blue
13.0,18.3,Blue
16.5,32.1,Blue
15.0,28.1,Blue
7.9,26.6,Blue
13.3,23.6,Blue
14.2,33.2,Blue
24.4,31.4,Blue
16.3,29.4,Blue
5.4,29.8,Blue
15.3,49.7,Blue
14.0,32.4,Blue
14.8,20.7,Blue
20.7,36.0,Blue
19.0,22.7,Blue
22.0,18.8,Blue
17.9,47.5,Blue
10.0,25.5,Blue
15.5,26.0,Blue
7.2,30.5,Blue
9.7,33.8,Blue
10.4,42.4,Blue
11.1,27.4,Blue
19.1,20.2,Blue
16.1,40.5,Blue
7.0,31.5,Blue
16.3,36.3,Blue
8.8,19.4,Blue
17.6,32.4,Blue
16.3,32.8,Blue
11.6,31.9,Blue
16.5,24.3,Blue
24.3,33.8,Blue
9.0,35.3,Blue
10.1,36.3,Blue
20.8,23.4,Blue
19.8,33.3,Blue
19.1,45.2,Blue
13.8,24.0,Blue
10.6,23.5,Blue
14.6,32.7,Blue
16.4,36.6,Blue
15.1,41.6,Blue
13.7,51.8,Blue
18.1,23.1,Blue
9.6,33.9,Blue
13.9,35.7,Blue
17.4,29.4,Blue
10.8,17.9,Blue
12.8,36.9,Blue
16.1,20.0,Blue
15.9,33.1,Blue
10.6,31.2,Blue
15.3,20.9,Blue
16.8,34.5,Blue
20.4,38.4,Blue
8.1,22.5,Blue
17.6,34.1,Blue
17.6,60.8,Blue
17.9,39.1,Blue
19.8,35.2,Blue
13.4,36.1,Blue
11.1,28.1,Blue
12.6,30.7,Blue
26.6,15.1,Blue
18.4,17.1,Blue
12.6,38.7,Blue
15.3,21.4,Blue
11.4,35.4,Blue
11.3,31.7,Blue
15.2,24.8,Blue
25.7,35.1,Blue
4.9,31.5,Blue
11.7,36.8,Blue
11.0,29.1,Blue
17.5,36.9,Blue
9.0,27.3,Blue
12.6,24.8,Blue
23.8,33.2,Blue
8.7,37.3,Blue
25.6,38.3,Blue
7.4,26.1,Blue
21.3,24.3,Blue
17.2,36.2,Blue
10.4,29.5,Blue
0.0,21.8,Blue
13.7,20.0,Blue
23.2,18.6,Blue
12.8,31.0,Blue
22.2,18.5,Blue
20.8,30.1,Blue
10.1,33.7,Blue
16.0,25.2,Blue
15.3,26.9,Blue
15.6,35.3,Blue
22.9,20.1,Blue
25.7,14.4,Blue
14.2,34.7,Blue
16.4,25.0,Blue
14.0,26.1,Blue
12.1,36.8,Blue
16.8,24.5,Blue
19.5,32.5,Blue
19.1,35.0,Blue
10.9,25.5,Blue
18.7,34.9,Blue
14.9,30.9,Blue
21.4,25.3,Blue
17.7,28.4,Blue
13.9,38.8,Blue
19.1,36.5,Blue
21.5,30.2,Blue
18.4,27.5,Blue
16.6,29.0,Blue
15.5,34.8,Blue
10.9,46.7,Blue
10.0,20.3,Blue
20.8,36.3,Blue
18.1,35.0,Blue
14.9,22.8,Blue
15.4,24.6,Blue
19.9,28.8,Blue
10.9,27.4,Blue
17.1,25.5,Blue
10.9,31.9,Blue
16.2,25.9,Blue
12.6,31.9,Blue
7.8,18.7,Blue
11.4,28.3,Blue
16.6,41.8,Blue
19.3,28.7,Blue
14.9,22.0,Blue
14.9,27.7,Blue
16.6,23.4,Blue
17.6,42.3,Blue
14.5,33.2,Blue
18.5,26.8,Blue
16.1,30.1,Blue
15.5,23.8,Blue
15.1,34.0,Blue
22.3,37.7,Blue
25.8,23.9,Blue
19.4,31.5,Blue
25.9,23.5,Blue
10.8,25.2,Blue
4.4,25.8,Blue
11.2,31.2,Blue
16.7,45.0,Blue
19.8,25.4,Blue
10.5,33.9,Blue
8.4,44.7,Blue
20.9,26.2,Blue
6.4,40.8,Blue
14.4,39.9,Blue
7.0,25.2,Blue
15.0,30.4,Blue
12.7,35.0,Blue
9.7,28.9,Blue
15.6,34.1,Blue
18.6,21.0,Blue
7.3,40.2,Blue
16.7,24.0,Blue
22.8,30.9,Blue
20.9,30.5,Blue
25.3,44.0,Blue
13.8,37.8,Blue
18.2,40.9,Blue
10.2,35.5,Blue
20.3,15.9,Blue
9.1,13.7,Blue
13.7,35.7,Blue
22.5,30.6,Blue
23.1,19.0,Blue
6.5,29.6,Blue
16.9,29.7,Blue
4.7,29.3,Blue
8.5,35.4,Blue
16.8,22.5,Blue
12.4,21.5,Blue
14.7,37.6,Blue
10.1,34.0,Blue
12.3,23.7,Blue
14.5,21.7,Blue
12.2,20.4,Blue
24.8,30.3,Blue
11.5,31.7,Blue
14.4,28.2,Blue
18.1,36.1,Blue
12.3,25.4,Blue
13.6,11.6,Blue
7.4,40.9,Blue
23.2,28.0,Blue
17.9,32.5,Blue
30.4,39.0,Blue
14.4,22.4,Blue
7.0,31.6,Blue
11.2,18.6,Blue
11.8,21.3,Blue
23.4,37.1,Blue
15.0,41.8,Blue
15.4,23.1,Blue
22.6,34.3,Blue
9.8,28.5,Blue
10.6,18.9,Blue
19.6,45.3,Blue
8.0,34.5,Blue
11.7,26.1,Blue
12.0,23.1,Blue
15.2,23.4,Blue
16.4,29.6,Blue
13.8,22.7,Blue
12.1,36.0,Blue
17.5,22.2,Blue
15.5,36.0,Blue
6.7,34.3,Blue
11.7,34.6,Blue
11.2,15.6,Blue
6.9,30.4,Blue
16.3,22.8,Blue
18.2,16.7,Blue
14.7,20.3,Blue
11.7,30.4,Blue
10.7,26.9,Blue
20.0,25.4,Blue
19.2,21.0,Blue
17.6,41.5,Blue
2.6,23.6,Blue
17.9,28.4,Blue
16.9,25.2,Blue
15.4,28.8,Blue
20.8,32.0,Blue
16.7,26.7,Blue
12.6,26.5,Blue
17.0,26.6,Blue
16.4,46.6,Blue
19.4,27.4,Blue
21.0,26.7,Blue
4.8,21.9,Blue
5.6,27.2,Blue
15.1,43.4,Blue
16.6,28.2,Blue
19.1,12.3,Blue
16.2,36.2,Blue
7.6,39.2,Blue
16.7,26.7,Blue
18.2,48.2,Blue
15.9,32.0,Blue
12.7,23.2,Blue
19.2,23.2,Blue
15.4,26.2,Blue
17.4,32.7,Blue
20.2,25.9,Blue
13.7,22.2,Blue
12.8,33.0,Blue
40.3,42.6,Green
41.1,60.8,Green
37.9,65.0,Green
29.6,40.0,Green
22.5,62.0,Green
39.6,49.6,Green
37.0,41.0,Green
52.1,51.0,Green
35.8,55.8,Green
38.4,51.8,Green
29.5,53.8,Green
48.2,60.8,Green
46.2,45.9,Green
28.1,49.0,Green
35.4,58.8,Green
23.2,62.2,Green
33.9,46.6,Green
27.9,36.8,Green
40.8,50.6,Green
26.0,39.6,Green
32.6,63.4,Green
33.2,38.0,Green
33.3,47.8,Green
16.1,49.6,Green
33.4,55.6,Green
47.9,59.0,Green
33.1,41.1,Green
53.0,50.5,Green
35.1,49.8,Green
36.4,48.8,Green
31.0,45.6,Green
34.8,45.7,Green
30.0,50.9,Green
33.2,62.0,Green
16.4,58.7,Green
43.7,33.4,Green
32.6,47.0,Green
25.1,43.8,Green
27.2,64.0,Green
41.5,60.2,Green
40.1,41.0,Green
31.3,53.9,Green
26.4,55.7,Green
33.3,47.0,Green
40.0,53.6,Green
32.5,59.3,Green
27.4,54.9,Green
39.2,47.5,Green
37.3,40.0,Green
41.5,48.5,Green
31.3,58.4,Green
30.1,38.7,Green
24.1,54.8,Green
26.0,64.0,Green
20.4,63.6,Green
36.5,49.2,Green
31.2,53.2,Green
34.7,58.8,Green
35.8,51.2,Green
32.5,49.5,Green
37.2,36.3,Green
25.6,55.9,Green
36.2,48.5,Green
35.1,52.8,Green
31.2,43.8,Green
36.4,42.2,Green
37.9,36.4,Green
42.2,53.8,Green
36.8,57.9,Green
46.7,58.1,Green
22.1,39.8,Green
30.6,50.2,Green
38.6,44.2,Green
36.3,44.0,Green
30.7,38.7,Green
28.5,39.2,Green
28.2,58.4,Green
28.4,71.1,Green
38.5,51.5,Green
29.0,55.6,Green
31.0,51.0,Green
52.9,49.2,Green
43.0,44.4,Green
34.8,64.2,Green
30.6,64.5,Green
40.0,45.5,Green
39.4,57.8,Green
39.4,37.4,Green
29.9,48.0,Green
34.5,55.0,Green
36.2,39.3,Green
37.7,54.9,Green
38.9,58.6,Green
40.8,53.7,Green
34.5,36.7,Green
38.0,51.7,Green
36.9,39.8,Green
27.4,58.4,Green
34.7,55.5,Green
35.2,50.2,Green
41.6,45.9,Green
35.7,46.3,Green
32.0,47.5,Green
36.6,46.2,Green
43.8,42.8,Green
33.7,46.5,Green
45.1,51.6,Green
42.2,38.1,Green
