size_sqft,price
1360,16234126.383211145
4272,35941984.51523513
3592,27190900.390730727
966,6977971.201364536
4926,40716895.72739383
3944,30672499.35187002
3671,27045615.77411693
3419,31956251.095361076
630,4405389.787529464
2185,18894578.24337396
1269,12040400.769656815
2891,22363540.624038294
2933,28816398.398926217
1684,11120574.716386162
3885,32864875.79074231
4617,38674353.11912975
3404,28069236.191407558
974,4901262.160184052
1582,16268452.655590393
3058,27694532.01100379
2547,19349294.41422635
3247,29098461.621616084
1475,13924723.058902327
2306,15606163.563916676
689,3950213.2562859277
3234,30286844.334668737
3505,29968248.55542615
2399,18499091.162568122
1767,12560572.326482074
2028,15677818.605653737
3702,29282561.410366885
4056,30910110.902112246
4390,30894707.662850093
1146,13588039.859202357
3388,31015901.017834328
2935,20660233.64457942
1100,10208933.886691002
2863,21197285.3918557
2561,20703298.330320396
741,5893700.26037903
2541,20044497.352846384
3324,33600841.252228856
3112,24575022.94597143
1863,13479208.524799226
1978,14536255.711508855
3056,28579330.869205266
1275,6243693.004921195
4514,34824131.25069344
534,9612468.520334601
3652,30947958.56399294
2455,21215766.01510834
2085,24076439.380431104
4443,37283043.858845495
3573,27459441.515921254
1521,12321768.829370953
3961,29281703.072908293
3113,29671811.120047092
4343,37467685.152610146
2000,20373242.449912667
661,9926951.785648111
4797,38133367.657217406
2481,18013741.443973333
1495,12804860.666075863
3842,29117716.787634384
4298,35878870.62622707
1775,18596290.642504066
1516,12623581.061852498
837,8145985.269723217
1378,11742463.151329901
1576,16016182.717313092
4493,34940652.81713513
879,1442661.215070703
992,10348606.578126142
2562,24459503.26392398
4384,37411122.73427561
564,3591308.5135959582
3068,22138963.70544179
2527,22699492.595340963
3195,26984436.85880402
1995,16582622.11702501
891,13595390.028981373
4974,37951599.717456006
4061,38813111.063382395
2778,23319351.71461192
3599,24285288.569387376
700,6062392.037042578
3604,32710488.229798324
2954,23536834.901585087
4145,29735664.376284815
1304,10938456.40461149
3231,24276482.87832488
3273,28659443.203263886
2070,19880199.448202834
3190,23351188.776755683
4340,33602587.83465305
1528,15493927.395320814
1002,6439467.165103123
4993,37697525.59251601
1370,8423926.604611237
4988,41960115.83887436
706,7575473.158552392
1984,14819861.908862876
1363,11919256.188384702
3290,31901397.152465392
1063,6581819.529245336
4691,32672772.172968652
2257,20421226.72716111
2178,18092796.508295234
3742,28805924.739554696
1559,15428240.712064724
2222,21293675.43400637
3814,24887165.940359723
3657,28298206.272005536
3125,32952548.693590567
3229,28582214.747394573
2097,19804310.914891448
3560,32998682.835894436
3193,26595206.475599177
4127,36406052.48027486
1863,18058186.131511606
2481,22465124.490258276
2163,17337964.088147786
2029,17748176.767098777
2538,19538915.307079665
3802,31454442.913699485
2737,19390527.3237022
1806,13076128.026181143
4529,36385063.874225214
3175,23568883.70570977
1782,13740948.187764471
1209,10180222.069733452
4913,41510787.03399313
4248,37831771.90555873
1163,8912646.885865677
2498,24989313.851805873
3945,35375833.23587648
4243,36456281.495831825
1995,17420947.38788986
3804,32389362.525605623
4263,38665153.45199914
2353,23494738.97927782
1791,19332840.18515093
4081,33771980.49563101
3957,34320901.49499584
2136,22118639.519866154
4196,32696851.895250823
3499,28036749.43884509
3652,30264109.989040434
1198,13282796.21393822
2660,25025516.45215587
4597,37083407.66640619
1354,7306171.63686087
3974,33530551.832887903
2207,15901051.588014796
3277,22746191.386079334
2233,15072385.317798851
4010,34059143.02353668
702,10699112.082798421
3755,31156683.548708733
4718,39378141.96393789
4996,44516684.816633776
1266,6494635.272749337
4889,41672529.26480082
2827,23581230.647043537
3431,30146172.376496203
697,5125548.274788552
2430,17986188.12872055
4082,34077526.712856814
1108,14811573.970003385
3772,33758730.31362439
1647,12652921.689459726
4782,35233083.89205616
3897,27129798.148906644
3011,29036298.355551444
2294,16486753.135592517
1159,9295459.76101519
3311,31451633.37823273
1869,11110295.633563025
2486,25364793.528425176
646,5407078.638322494
3719,27306250.054283783
3411,27545947.21855326
2234,16704209.655795567
2343,21066459.396717146
988,6959602.698336666
3476,23073073.367242873
2459,20010312.396773033
2885,20010364.843140382
3419,28964959.65196496
2302,15854609.003150027
4561,36023961.59048374
3869,32499763.412643008
762,6458623.8248971915
1123,10735290.849003134
1516,15168861.497153271
4143,30670198.90080608
2549,21198807.378125876
4223,24795488.607475612
3608,30605999.905047573
4590,36817557.608875476
2556,18497650.709566087
3670,31307158.266889572
2182,21974092.7315552
2755,21611946.75720317
1654,11397556.52927484
4999,41487075.787316136
3691,26521180.00006092
2196,16586855.888393383
4491,40595206.4849515
2148,18370537.689436864
1945,10921599.108161502
4699,33201025.058161795
4423,36870257.07794033
753,9611171.727753062
3683,25611135.62412155
3057,26805137.822489526
598,9775030.522469155
2700,28263576.963875916
3461,29681668.27957963
4933,41984407.783657424
4277,28816446.717115566
3369,34251257.64398797
3734,29145529.360711634
4291,32527586.524724875
1456,11882381.596681125
4567,42071020.2425563
660,12904138.142630644
4993,41320226.03842753
1800,18394252.517810967
4487,37025612.14605651
2027,14102613.580945447
1718,19174231.01236487
4996,39101617.55893084
3604,34438592.32011565
3235,30775623.98930725
1454,14474108.791871624
3946,38054924.26876306
1545,20057038.099557213
2193,18018269.911107067
3936,30061617.644750707
1062,3903190.4882305833
2985,31614046.76629077
3854,30512953.973244652
725,10205110.57130522
1459,10448233.89747155
3567,34150796.92273611
1315,9419647.22455376
3620,26384842.59914797
516,4502480.707138749
1743,13348672.897115089
2705,24428899.356383637
3024,25037815.218422428
1569,15435107.183655765
3944,31678935.580744117
3065,23524677.886943586
1560,11729318.35631178
2827,29750816.394093078
3920,33035512.796680808
801,1456713.3716408666
4776,37647372.95963775
1106,10138598.097427627
3670,35896199.043751135
1199,13678096.147669699
1639,11346846.490554255
690,13775067.260717355
2800,23306518.905595567
1480,16578989.433224835
3475,25334974.507800292
1684,7277510.714247307
3827,27390705.528894916
3894,22400999.571412884
627,12352267.981758725
2565,22163598.756659247
2316,16754067.944655906
1069,10909872.089940364
2395,20728002.108540498
3233,28726800.186841972
4363,39532594.20340881
4514,36242236.54092495
3401,25568482.08169704
2186,20971325.64311575
3509,31478998.333653398
654,6534207.424364035
3037,31828662.56604232
1909,14958533.631415043
4557,34756426.0850942
1284,12526274.282519804
3675,28375186.429259505
4841,41214549.572434686
3306,24948975.23248168
1037,8095273.151204344
2341,25400521.260117497
